Issue Type,Summary,Description,Epic Link,Labels
Epic,Selfie de Cadastro,Funcionalidade de selfie para validação de identidade.,,selfie,cadastro
Story,Tirar Selfie para Validação,Como usuário, quero tirar uma selfie no momento do cadastro para validar minha identidade.,Selfie de Cadastro,selfie
Task,Implementar tela de selfie,Tela com instruções, botão de captura e restrição de upload.,Tirar Selfie para Validação,frontend
Task,Enviar selfie para backend,Envio da imagem para validação.,Tirar Selfie para Validação,backend
Task,Feedback visual após captura,Exibir mensagens de sucesso ou erro.,Tirar Selfie para Validação,frontend
Epic,Tela Inicial e Navegação,Tela de boas-vindas e navegação principal.,,navegação
Story,Tela de Boas-Vindas,Como usuário, quero ver uma tela de boas-vindas após o login.,Tela Inicial e Navegação,início
Task,Implementar tela de início,Mensagem personalizada e botões principais.,Tela de Boas-Vindas,frontend
Task,Implementar navegação por abas,Abas “Vendas” e “Conta”.,Tela de Boas-Vindas,frontend
Epic,Fluxo de Venda,Processo de registro de vendas em etapas.,,vendas
Story,Realizar uma Venda,Como usuário, quero registrar uma nova venda em etapas simples.,Fluxo de Venda,venda
Task,Implementar tela de nome do estabelecimento,Exibir apenas na primeira venda.,Realizar uma Venda,frontend
Task,Implementar tela de valor da venda,Campo com validação.,Realizar uma Venda,frontend
Task,Implementar tela de dados do cartão,Máscaras e validação.,Realizar uma Venda,frontend
Task,Implementar tela de chave Pix,Campo com validação.,Realizar uma Venda,frontend
Task,Implementar tela de resumo da operação,Exibir dados antes de concluir.,Realizar uma Venda,frontend
Task,Salvar cartão e Pix para próximas vendas,Persistência local dos dados.,Realizar uma Venda,backend
Epic,Histórico de Vendas,Consulta e detalhamento das vendas realizadas.,,histórico
Story,Consultar Histórico de Vendas,Como usuário, quero acessar o histórico de vendas realizadas.,Histórico de Vendas,histórico
Task,Implementar listagem de vendas,Exibir vendas com filtros e busca.,Consultar Histórico de Vendas,frontend
Task,Exibir detalhes da venda,Tela de detalhes ao selecionar venda.,Consultar Histórico de Vendas,frontend
Epic,UX e Layout Moderno,Experiência visual e acessibilidade.,,ux,design
Story,Experiência Visual e Acessibilidade,Como usuário, quero um app moderno e acessível.,UX e Layout Moderno,ux
Task,Aplicar Material Design 3,Cores, botões, fontes, animações.,Experiência Visual e Acessibilidade,frontend
Task,Implementar dark mode,Suporte a tema escuro.,Experiência Visual e Acessibilidade,frontend
Task,Garantir acessibilidade,Labels, contraste, navegação por teclado.,Experiência Visual e Acessibilidade,frontend
